id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
69314-12-4412CEREURCARINE239PAL-1,69314,7/29/2020,12,CERAMICA LIMA SA,EUROCERAM PLUS SA,CALLAO,PERU,321550,"CARREAU, DALLE DE REVETEMENT, EN CERAMIQUE, MOSAIQUE, PORCELAINE",239,PALETTES,LOUISIANA TRADER,137N,EVERGREEN,1,12,0,321550,-12.066667,-77.15
69412-3-443TAXL'ACAHTES486CAR-1,69412,7/29/2020,3,TAXTRAN LIMITED,L'ABEILLE SA,TIANJIN,CHINA,84807.2,"CAHIER, AGENDA, BLOC-NOTES",4868,CARTON,LOUISIANA TRADER,137N,MAERSK LINE,1,3,0,84807.2,39.142223,117.17667
69502-5-445MACGELCHAVES670CAR-1,69502,8/1/2020,5,MACAYA INDUSTRIES,GELA SHOP,NINGBO,CHINA,63180,CHAUSSURES NEUVES,670,CARTON,CFS PACORA,1781DS,CMA/CGM,0.5,2.5,0,31590,29.878185,121.54945
69594-1-441RETBEAARTRIE600PAQ-1,69594,8/1/2020,1,RETEX GLOBAL PVT LIMITED,BEAUGE MARCADIEU FANCIA,KARACHI,PAKISTAN,27516,ARTICLE DE FRIPERIE,600,"PAQUET, COLIS",OREGON TRADER,PD030A,MEDITERRANEAN SHIPPING CO,1,1,0,27516,24.9056,67.0822
69688-1-441HEBMINSAURVE188CAR-1,69688,8/3/2020,1,HEBEI FEIMAO INTERNATIONAL TRADE,MINAYA SPICES,QINGDAO,CHINA,21620,SAUMONS EN CONSERVE,1880,CARTON,ARKADIA,138N,EVERGREEN,1,1,0,21620,36.09861,120.37194
69782-1-441PARSTAVOIION2UNI-2,69782,8/3/2020,1,PARTICULIER,STAFORD HAITI,MONTREAL,CANADA,11000,VOITURE D'OCCASION,2,UNITES,ASIAN TRADER,20031H,HAPAG-LLOYD,0.5,0.5,0,5500,45.5,-73.583336
69874-1-441EVISOGVIAFRI240CAR-1,69874,8/5/2020,1,EVIA FOODS SAS,SOGEDIPA SA,LONDON,UNITED KINGDOM,25500,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",2406,CARTON,ARKADIA,138N,MAERSK LINE,1,1,0,25500,51.509865,-0.118092
69959-6-446COMVALVENION130CAR-3,69959,8/6/2020,6,COMPAGNIE FRANCAISE D'ETUDES ET D'ENTREPRISE,VALERIO CANEZ SA,SHANGHAI,CHINA,53769.43,"VENTILATEUR, APPAREIL DE VENTILATION",1303,CARTON,CFS PAFILIA,0RU2Y1,CMA/CGM,0.2,1.2,0,10753.886,31.045555,121.39972
70049-1-441SUNMARAMMQUE90CYL-1,70049,8/6/2020,1,SUN IMPORT EXPORT,MARC MYRTHIL,MIAMI - FL,USA,12661.6,AMMONIAC ANHYDRE OU AMMONIAQUE,90,CYLINDRE,PEPIN EXPRESS,194S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,12661.6,25.77389,-80.193886
70139-14-4414IFBCARVOIION1UNI-3,70139,8/7/2020,14,IFB INTERNATIONAL FREIGHT BRIDGE,CARIMPEX,LE HAVRE,FRANCE,234400,VOITURE D'OCCASION,1,UNITES,PACIFIC TRADER,035E,COSCO SHIPPING,0.333333333,4.666666667,0,78133.33333,49.5,0.133333
